run,vol,white_db,black_db,ada_volts
2,1,73.9,74.8,0.8462352941176485
2,2,74.1,75.0,0.8452267303102635
2,3,74.3,75.1,0.8836573628488916
2,4,74.8,75.6,0.9678947368421056
2,5,74.9,75.8,0.9449497847919668
2,6,75.3,76.2,0.9946833333333333
2,7,75.8,76.5,1.0256778679026637
2,8,75.9,76.7,1.0619594594594564
2,9,76.2,77.0,1.1039348710990506
2,10,76.5,77.4,1.1453369272237195
2,11,76.9,77.7,1.195184770436733
2,12,77.3,78.0,1.2529535095715585
2,13,77.4,78.3,1.422537313432832
2,14,78.0,78.6,1.358211382113814
2,15,78.0,78.9,1.4201856148491887
2,16,78.3,79.2,1.4397486535009
2,17,78.7,79.5,1.5293450881612047
2,18,79.0,79.8,1.5836637931034492
2,19,79.2,80.1,1.679381598793365
2,20,79.4,80.3,1.7565944881889757
2,21,79.6,80.5,1.8428938906752412
2,22,79.8,80.7,1.988406593406592
2,23,80.0,80.8,2.207266553480479
2,24,80.1,80.9,2.3160821162443987
2,25,80.1,81.0,2.424570673712038
3,25,61.4,62.7,0.41654761904761906
3,26,62.4,63.7,0.4317741935483871
3,27,63.6,64.7,0.4529978586723762
3,28,64.8,65.7,0.4315604395604391
3,29,65.9,66.8,0.44347003154574116
3,30,66.6,67.7,0.47360123647604346
3,31,67.4,68.5,0.47514423076923096
3,32,68.2,68.9,0.5187517531556791
3,33,68.9,69.9,0.5029679595278248
3,34,69.6,70.6,0.5215242494226331
3,35,70.3,71.4,0.5341443850267386
3,36,71.1,72.0,0.5876546610169497
3,37,71.7,72.8,0.5947931034482759
3,38,72.5,73.4,0.6327578475336312
3,39,73.2,74.1,0.6412853470437012
3,40,73.9,74.7,0.7073670886075947
3,41,74.2,75.1,0.7081724832214764
3,42,74.5,75.4,0.7739108910891095
3,43,74.9,75.8,0.7874820143884899
3,44,75.1,75.9,0.7507395498392293
3,45,75.5,76.4,0.8366449511400655
3,46,75.8,76.7,0.763037542662116
3,47,76.1,77.0,0.8241609318996416
3,48,76.4,77.3,0.8869844789356985
3,49,76.7,77.5,0.8682962962962956
3,50,77.0,77.9,0.9374474393531
3,51,77.3,78.2,1.0088674033149174
3,52,77.6,78.5,1.040885416666667
3,53,77.9,78.9,1.0269327731092446
3,54,78.3,79.2,1.0969799999999994
3,55,78.5,79.5,1.1483106267029988
3,56,78.9,79.8,1.2126070821529749
3,57,79.0,80.0,1.3219626168224299
3,58,79.3,80.2,1.2962151394422312
3,59,79.5,80.3,1.388016759776537
3,60,79.7,80.6,1.4195070422535225
3,61,79.8,80.6,1.5157114006514671
3,62,79.9,80.7,1.560625000000001
3,63,79.9,80.8,1.6823333333333337
3,64,80.0,80.8,1.683934426229508
3,65,80.0,80.9,1.790845070422533
